House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
233,Robinson Way,Holly,Bailey,48,Lodger,Single,Female,Equality and diversity officer,None,Catholic
1,Shaw Shore,Carly,Begum,84,Head,Widowed,Female,"Retired Psychologist, educational",None,Christian
2,Shaw Shore,Bernard,Jones,77,Head,Married,Male,Retired Corporate investment banker,None,Catholic
2,Shaw Shore,Amanda,Jones,76,Wife,Married,Female,Retired Passenger transport manager,None,Catholic
2,Shaw Shore,Charlotte,Morgan,24,Granddaughter,Divorced,Female,Fish farm manager,None,Catholic
2,Shaw Shore,Martin,Ward,20,Grandson,Single,Male,University Student,None,None
2,Shaw Shore,Stewart,Ward,16,Grandson,NA,Male,Student,None,NA
3,Shaw Shore,Ann,Williams,24,Head,Single,Female,PhD Student,None,Methodist
3,Shaw Shore,Callum,Taylor,30,None,Single,Male,Logistics and distribution manager,None,None
3,Shaw Shore,Ruth,Hayes,28,None,Single,Female,Gaffer,None,Christian
3,Shaw Shore,Alexander,Richardson,34,None,Single,Male,"Designer, television/film set",None,None
4,Shaw Shore,Katherine,Bell,64,Head,Single,Female,Medical secretary,None,None
4,Shaw Shore,Hugh,Cook,66,Partner,Single,Male,Garment/textile technologist,None,None
5,Shaw Shore,Sylvia,Bailey,81,Head,Widowed,Female,Retired Furniture conservator/restorer,None,Methodist
5,Shaw Shore,Ruth,Bailey,44,Daughter,Single,Female,Electrical engineer,None,Methodist
5,Shaw Shore,Sophie,Bailey,40,Daughter,Divorced,Female,"Designer, textile",None,Methodist
5,Shaw Shore,Karen,Bailey,36,Daughter,Single,Female,Ergonomist,None,None
5,Shaw Shore,Kyle,Bailey,34,Son,Single,Male,Museum/gallery exhibitions officer,None,None
6,Shaw Shore,Darren,Williams,18,Head,Single,Male,University Student,None,Catholic
6,Shaw Shore,Nicole,Smith,20,None,Single,Female,University Student,None,Christian
7,Shaw Shore,Amber,Thomas,66,Head,Married,Female,Textile designer,None,None
7,Shaw Shore,Nicholas,Thomas,64,Husband,Married,Male,Statistician,None,None
8,Shaw Shore,Olivia,Carey,74,Head,Married,Female,Retired Farm manager,None,None
8,Shaw Shore,Frank,Carey,80,Husband,Married,Male,Retired Systems analyst,None,None
9,Shaw Shore,Dean,Parry,29,Head,Divorced,Male,"Engineer, drilling",None,Christian
10,Shaw Shore,Bradley,Jackson,69,Head,Married,Male,Retired Planning and development surveyor,None,None
10,Shaw Shore,Danielle,Jackson,68,Wife,Married,Female,Retired Writer,None,None
11,Shaw Shore,Max,Simpson,39,Head,Married,Male,"Exhibitions officer, museum/gallery",None,None
11,Shaw Shore,Barbara,Simpson,39,Wife,Married,Female,Clothing/textile technologist,None,None
12,Shaw Shore,Pamela,Walsh,44,Head,Single,Female,Unemployed,None,None
12,Shaw Shore,Rachel,Walsh,9,Daughter,NA,Female,Student,None,NA
12,Shaw Shore,Stanley,Walsh,4,Son,NA,Male,Child,None,NA
12,Shaw Shore,Georgina,Walsh,4,Daughter,NA,Female,Child,None,NA
12,Shaw Shore,Emma,Walsh,2,Daughter,NA,Female,Child,None,NA
13,Shaw Shore,Kathleen,Hawkins,68,Head,Single,Female,"Retired Nurse, learning disability",None,Christian
13,Shaw Shore,Hannah,O'Sullivan-Hawkins,31,Daughter,Divorced,Female,Medical laboratory scientific officer,None,Christian
13,Shaw Shore,Naomi,O'Sullivan-Hawkins,30,Daughter,Divorced,Female,Pathologist,None,Christian
13,Shaw Shore,Colin,O'Sullivan-Hawkins,27,Son,Single,Male,Production manager,None,Christian
13,Shaw Shore,Jeremy,O'Sullivan-Hawkins,25,Son,Single,Male,Unemployed,None,Christian
14,Shaw Shore,Kate,Cooke,41,Head,Divorced,Female,Pensions consultant,None,None
14,Shaw Shore,Tina,Cooke,9,Daughter,NA,Female,Student,None,NA
15,Shaw Shore,Brandon,Grant,57,Head,Single,Male,Technical author,None,None
15,Shaw Shore,Heather,Grant,12,Granddaughter,NA,Female,Student,None,NA
16,Shaw Shore,Francesca,Pearson,36,Head,Divorced,Female,Unemployed,None,Christian
16,Shaw Shore,Chloe,Pearson,9,Daughter,NA,Female,Student,None,NA
17,Shaw Shore,Holly,Parkes,37,Head,Single,Female,Database administrator,None,None
17,Shaw Shore,Stacey,Parkes,17,Daughter,NA,Female,Student,None,NA
18,Shaw Shore,Wayne,Fletcher,69,Head,Married,Male,"Retired Designer, exhibition/display",None,Methodist
18,Shaw Shore,Jenna,Fletcher,64,Wife,Married,Female,"Pilot, airline",None,Methodist
19,Shaw Shore,Louise,Dawson,43,Head,Widowed,Female,Unemployed,None,Christian
19,Shaw Shore,Emily,Dawson,13,Daughter,NA,Female,Student,None,NA
19,Shaw Shore,Suzanne,Dawson,13,Daughter,NA,Female,Student,None,NA
19,Shaw Shore,Donna,Dawson,8,Daughter,NA,Female,Student,None,NA
19,Shaw Shore,Donald,Dawson,7,Son,NA,Male,Student,None,NA
20,Shaw Shore,Bethany,Brown,51,Head,Married,Female,"Nurse, children's",None,Christian
20,Shaw Shore,Terry,Brown,53,Husband,Married,Male,"Solicitor, Scotland",None,Christian
20,Shaw Shore,Kathleen,Brown,23,Daughter,Single,Female,Occupational hygienist,None,Christian
20,Shaw Shore,Damian,Brown,20,Son,Single,Male,University Student,None,Christian
20,Shaw Shore,Damian,Brown,16,Son,NA,Male,Student,None,NA
21,Shaw Shore,Olivia,Clarke,63,Head,Widowed,Female,Secretary/administrator,None,Christian
21,Shaw Shore,Fiona,Clarke,30,Daughter,Widowed,Female,"Psychologist, counselling",None,Christian
22,Shaw Shore,Roger,Blake,62,Head,Single,Male,"Lecturer, further education",None,Christian
22,Shaw Shore,Samuel,Blake,25,Grandson,Divorced,Male,Social worker,None,Christian
22,Shaw Shore,Natalie,Blake,23,Granddaughter,Single,Female,Careers adviser,None,Christian
22,Shaw Shore,Callum,Jackson,22,Grandson,Widowed,Male,University Student,None,Christian
22,Shaw Shore,Jayne,Hughes,19,Granddaughter,Single,Female,University Student,None,None
23,Shaw Shore,Diana,Hall,35,Head,Single,Female,Sports coach,None,Christian
23,Shaw Shore,Scott,Butler,36,Partner,Single,Male,"Editor, commissioning",None,None
24,Shaw Shore,Julia,Gill,47,Head,Married,Female,Tax adviser,None,Catholic
24,Shaw Shore,Mohammad,Gill,49,Husband,Married,Male,Unemployed,None,Catholic
24,Shaw Shore,Susan,Gill,17,Daughter,NA,Female,Student,None,NA
25,Shaw Shore,Sally,Jones,34,Head,Divorced,Female,Public librarian,None,Methodist
25,Shaw Shore,Lawrence,Jones,17,Son,NA,Male,Student,None,NA
25,Shaw Shore,Howard,Jones,16,Son,NA,Male,Student,None,NA
25,Shaw Shore,Henry,Jones,12,Son,NA,Male,Student,None,NA
26,Shaw Shore,Ricky,Jackson,22,Head,Married,Male,University Student,None,Christian
26,Shaw Shore,Gillian,Jackson,19,Wife,Married,Female,University Student,None,Christian
27,Shaw Shore,Trevor,Osborne,45,Head,Single,Male,Clinical molecular geneticist,None,None
27,Shaw Shore,Elliott,Smith,43,None,Single,Male,Production manager,None,Methodist
27,Shaw Shore,Joshua,Marshall,24,None,Single,Male,Heritage manager,None,Sikh
27,Shaw Shore,Gareth,Baldwin,40,None,Single,Male,Chief Operating Officer,None,Methodist
28,Shaw Shore,Amy,Hunt,55,Head,Single,Female,Unemployed,None,Christian
28,Shaw Shore,James,Hunt,37,Son,Single,Male,Jewellery designer,None,None
28,Shaw Shore,Sally,Hunt,37,Daughter,Divorced,Female,Public librarian,None,Christian
28,Shaw Shore,Shirley,Hunt,34,Daughter,Single,Female,Osteopath,None,Christian
29,Shaw Shore,Hugh,Hudson,24,Head,Divorced,Male,Education administrator,None,None
30,Shaw Shore,Joyce,Doyle,24,Head,Married,Female,Nutritional therapist,None,None
30,Shaw Shore,Leigh,Doyle,24,Husband,Married,Male,Accommodation manager,None,None
30,Shaw Shore,Phillip,Doyle,5,Son,NA,Male,Student,None,NA
30,Shaw Shore,Lee,Roberts,63,Lodger,Single,Male,Hydrologist,None,Christian
31,Shaw Shore,Billy,Andrews,52,Head,Single,Male,Financial adviser,None,Methodist
32,Shaw Shore,Jean,Bailey,73,Head,Married,Female,Retired Therapeutic radiographer,None,Christian
32,Shaw Shore,Damian,Bailey,73,Husband,Married,Male,Retired Animal technologist,None,Christian
33,Shaw Shore,Vanessa,Price,31,Head,Single,Female,Customer service manager,None,Catholic
33,Shaw Shore,Benjamin,Evans,33,Partner,Single,Male,Commercial horticulturist,None,None
34,Shaw Shore,Kerry,Roberts,61,Head,Divorced,Female,Oncologist,None,None
34,Shaw Shore,Patrick,Griffin,14,Grandson,NA,Male,Student,None,NA
35,Shaw Shore,Sheila,Naylor,41,Head,Widowed,Female,Location manager,None,None
35,Shaw Shore,Antony,Naylor,9,Son,NA,Male,Student,None,NA
36,Shaw Shore,Susan,Wyatt,44,Head,Divorced,Female,Unemployed,None,Christian
36,Shaw Shore,Christian,Wyatt,14,Son,NA,Male,Student,None,NA
37,Shaw Shore,Tony,Bolton,56,Head,Single,Male,Architect,None,Catholic
38,Shaw Shore,Yvonne,Edwards,20,Head,Divorced,Female,Government social research officer,None,Methodist
39,Shaw Shore,Jacob,King,37,Head,Married,Male,Retail manager,None,None
39,Shaw Shore,Marilyn,King,33,Wife,Married,Female,English as a foreign language teacher,None,None
39,Shaw Shore,Margaret,Wright-King,5,Daughter,NA,Female,Student,None,NA
40,Shaw Shore,Alice,Kelly,44,Head,Single,Female,Fast food restaurant manager,None,Methodist
40,Shaw Shore,June,Kelly,25,Daughter,Single,Female,Unemployed,None,None
41,Shaw Shore,Deborah,Davey,31,Head,Divorced,Female,Unemployed,None,None
41,Shaw Shore,Sylvia,Cameron,37,Lodger,Divorced,Female,Administrator,None,None
41,Shaw Shore,Josephine,Spencer,36,Lodger,Single,Female,Cartographer,None,Christian
42,Shaw Shore,Diana,Brown,42,Head,Single,Female,Outdoor activities/education manager,None,Methodist
42,Shaw Shore,William,Horton,23,None,Single,Male,Trade mark attorney,None,Christian
42,Shaw Shore,Luke,Cooper,60,None,Single,Male,Unemployed,None,Christian
42,Shaw Shore,Wayne,Smith,30,None,Single,Male,Cartographer,None,None
43,Shaw Shore,Ronald,Benson,34,Head,Married,Male,Unemployed,None,Muslim
43,Shaw Shore,Nicole,Benson,35,Wife,Married,Female,Music therapist,None,None
44,Shaw Shore,Tom,Pearce,54,Head,Single,Male,Land/geomatics surveyor,None,None
44,Shaw Shore,Alison,Gilbert,50,Partner,Single,Female,Unemployed,None,None
45,Shaw Shore,Ellie,Elliott,54,Head,Single,Female,Forensic scientist,None,Catholic
46,Shaw Shore,Ellie,George,33,Head,Single,Female,"Engineer, structural",None,None
46,Shaw Shore,Aimee,George,6,Daughter,NA,Female,Student,None,NA
46,Shaw Shore,Ryan,George,3,Son,NA,Male,Child,None,NA
47,Shaw Shore,Rebecca,Bryan,62,Head,Divorced,Female,Photographer,None,Christian
48,Shaw Shore,Alice,Smith,49,Head,Single,Female,Unemployed,None,Jewish
48,Shaw Shore,Joyce,Smith,6,Daughter,NA,Female,Student,None,NA
48,Shaw Shore,Joel,Smith,2,Son,NA,Male,Child,None,NA
48,Shaw Shore,Beverley,Smith,0,Daughter,NA,Female,Child,None,NA
49,Shaw Shore,Timothy,Haynes,47,Head,Divorced,Male,Retail banker,None,None
49,Shaw Shore,Donald,Haynes,17,Son,NA,Male,Student,None,NA
50,Shaw Shore,Tracy,Smith,31,Head,Single,Female,Passenger transport manager,None,Jewish
51,Shaw Shore,Linda,Barber,70,Head,Married,Female,Retired IT sales professional,None,Catholic
51,Shaw Shore,Oliver,Barber,71,Husband,Married,Male,Retired Industrial buyer,None,Catholic
52,Shaw Shore,Josephine,Mellor,32,Head,Single,Female,Unemployed,None,Catholic
52,Shaw Shore,Victoria,Bailey,64,Lodger,Single,Female,Proofreader,None,Christian
53,Shaw Shore,Simon,Webb,64,Head,Married,Male,Forest/woodland manager,None,Christian
53,Shaw Shore,Hazel,Webb,59,Wife,Married,Female,"Teacher, special educational needs",None,Christian
54,Shaw Shore,Gillian,Osborne,42,Head,Married,Female,Public librarian,None,Christian
54,Shaw Shore,Donald,Osborne,42,Husband,Married,Male,Unemployed,None,Christian
54,Shaw Shore,Jayne,Osborne,12,Daughter,NA,Female,Student,None,NA
54,Shaw Shore,Max,Osborne,6,Son,NA,Male,Student,None,NA
55,Shaw Shore,Joan,Ahmed,35,Head,Divorced,Female,"Clinical scientist, histocompatibility and immunogenetics",None,None
55,Shaw Shore,Dean,Ahmed,5,Adopted Son,NA,Male,Student,None,NA
55,Shaw Shore,Carly,Ahmed,2,Daughter,NA,Female,Child,None,NA
56,Shaw Shore,Clare,Duffy,88,Head,Married,Female,Retired Chief Executive Officer,None,Christian
56,Shaw Shore,Kenneth,Duffy,90,Husband,Married,Male,Retired Research scientist (medical),None,None
57,Shaw Shore,Owen,Thomas,63,Head,Married,Male,Production manager,None,Catholic
57,Shaw Shore,Lynne,Thomas,59,Wife,Married,Female,Production manager,None,Catholic
58,Shaw Shore,Gordon,Walker,56,Head,Married,Male,Unemployed,None,Methodist
58,Shaw Shore,Leah,Walker,55,Wife,Married,Female,Cabin crew,None,None
1,Short Mountains,Amelia,Perry,33,Head,Widowed,Female,"Conservator, furniture",None,Christian
2,Short Mountains,Rebecca,Clark,42,Head,Single,Female,"Therapist, speech and language",None,None
3,Short Mountains,Bruce,Harris,68,Head,Single,Male,Retired Quantity surveyor,None,Christian
4,Short Mountains,Iain,Moss,60,Head,Single,Male,Seismic interpreter,None,Christian
5,Short Mountains,Ruth,Parker,46,Head,Divorced,Female,Orthoptist,None,Methodist
5,Short Mountains,Jack,Parker,14,Son,NA,Male,Student,None,NA
6,Short Mountains,Mohammad,North,54,Head,Married,Male,Unemployed,None,Christian
6,Short Mountains,Mary,North,52,Wife,Married,Female,"Journalist, newspaper",None,Christian
7,Short Mountains,Fiona,Harris,34,Head,Single,Female,Oceanographer,None,Methodist
1,Ali Avenue,Heather,O'Neill,80,Head,Single,Female,"Retired Exhibitions officer, museum/gallery",None,Christian
2,Ali Avenue,Garry,Sanders,97,Head,Single,Male,"Retired Optician, dispensing",None,Christian
3,Ali Avenue,Julie,Williams,55,Head,Married,Female,Dietitian,None,Christian
3,Ali Avenue,Declan,Williams,57,Husband,Married,Male,Landscape architect,None,Christian
4,Ali Avenue,Howard,Reed,28,Head,Divorced,Male,Translator,None,Sikh
5,Ali Avenue,Amelia,Watkins,28,Head,Single,Female,"Psychotherapist, child",None,Methodist
6,Ali Avenue,Dorothy,Thompson,31,Head,Married,Female,Unemployed,None,Christian
6,Ali Avenue,Edward,Thompson,27,Husband,Married,Male,Orthoptist,None,Christian
6,Ali Avenue,Hazel,Thompson,5,Daughter,NA,Female,Student,None,NA
7,Ali Avenue,Leon,Harding,60,Head,Single,Male,Unemployed,None,Christian
8,Ali Avenue,Toby,Booth,70,Head,Widowed,Male,Retired Television camera operator,None,None
8,Ali Avenue,Kevin,Cooper,2,Grandson,NA,Male,Child,None,NA
9,Ali Avenue,Charles,Moss,19,Head,Single,Male,University Student,None,Muslim
9,Ali Avenue,Kim,Fitzgerald,21,Partner,Single,Female,University Student,None,Muslim
10,Ali Avenue,Shirley,Campbell,76,Head,Married,Female,Retired Public relations officer,None,Christian
10,Ali Avenue,Duncan,Campbell,75,Husband,Married,Male,Retired Office manager,None,Christian
11,Ali Avenue,Janet,Brown,37,Head,Married,Female,Tourism officer,None,Christian
11,Ali Avenue,Ben,Brown,38,Husband,Married,Male,Optometrist,None,None
11,Ali Avenue,Beth,Brown,12,Daughter,NA,Female,Student,None,NA
12,Ali Avenue,Olivia,Hopkins,27,Head,Single,Female,"Loss adjuster, chartered",None,None
12,Ali Avenue,Janice,Jackson,41,None,Single,Female,"Engineer, water",None,Christian
12,Ali Avenue,Sam,Gray,52,None,Single,Male,Police officer,None,Catholic
12,Ali Avenue,Shaun,Fletcher,47,None,Single,Male,Investment analyst,None,Catholic
13,Ali Avenue,Heather,Booth,31,Head,Single,Female,Unemployed,None,Muslim
13,Ali Avenue,Louis,Booth,7,Son,NA,Male,Student,None,NA
14,Ali Avenue,Richard,Perkins,64,Head,Divorced,Male,Industrial/product designer,None,Christian
14,Ali Avenue,Raymond,Perkins,13,Grandson,NA,Male,Student,None,NA
14,Ali Avenue,Jeremy,Smart,9,Grandson,NA,Male,Student,None,NA
15,Ali Avenue,Clifford,Taylor,37,Head,Single,Male,Sports coach,None,Christian
16,Ali Avenue,Molly,Reeves,53,Head,Single,Female,Training and development officer,None,Christian
17,Ali Avenue,Gordon,McLean,59,Head,Married,Male,Advice worker,None,Christian
17,Ali Avenue,Wendy,McLean,57,Wife,Married,Female,Professor Emeritus,None,None
18,Ali Avenue,Douglas,Randall,91,Head,Widowed,Male,"Retired Therapist, horticultural",None,Christian
19,Ali Avenue,George,Reed,58,Head,Single,Male,Volunteer coordinator,None,None
20,Ali Avenue,Howard,Harding,18,Head,Single,Male,Student,None,NA
21,Ali Avenue,Peter,White,35,Head,Divorced,Male,Forest/woodland manager,None,Catholic
22,Ali Avenue,Jodie,Lee,77,Head,Divorced,Female,Retired Interior and spatial designer,None,None
23,Ali Avenue,Debra,Barnett,68,Head,Divorced,Female,Retired Geochemist,None,Christian
23,Ali Avenue,Natasha,Barnett,11,Granddaughter,NA,Female,Student,None,NA
24,Ali Avenue,Shannon,Moore,19,Head,Single,Female,University Student,None,None
1,Rhubarb Road,Jake,Phillips,73,Head,Divorced,Male,Retired Media buyer,None,Christian
2,Rhubarb Road,Jeremy,Evans,40,Head,Married,Male,Homeopath,None,Christian
2,Rhubarb Road,Cheryl,Evans,42,Wife,Married,Female,Production engineer,None,None
2,Rhubarb Road,Marc,Evans,14,Son,NA,Male,Student,None,NA
2,Rhubarb Road,Lindsey,Evans,10,Daughter,NA,Female,Student,None,NA
3,Rhubarb Road,Molly,Hewitt,60,Head,Single,Female,"Designer, exhibition/display",None,None
4,Rhubarb Road,Matthew,Murphy,22,Head,Single,Male,University Student,None,Catholic
4,Rhubarb Road,Margaret,Moore,20,None,Single,Female,University Student,None,Catholic
4,Rhubarb Road,Marc,Dixon,32,None,Single,Male,Patent attorney,None,Methodist
5,Rhubarb Road,Denise,Hanson,39,Head,Divorced,Female,Unemployed,None,Methodist
5,Rhubarb Road,Jacob,Hanson,3,Son,NA,Male,Child,None,NA
5,Rhubarb Road,Lynne,Hanson,1,Daughter,NA,Female,Child,None,NA
6,Rhubarb Road,Victoria,Davies,46,Head,Single,Female,Community development worker,None,Methodist
6,Rhubarb Road,Ricky,Smith,29,None,Single,Male,"Engineer, petroleum",None,Catholic
7,Rhubarb Road,Andrew,Jenkins,87,Head,Divorced,Male,"Retired Nurse, adult",None,None
8,Rhubarb Road,Zoe,Green,69,Head,Married,Female,Unemployed,None,Christian
8,Rhubarb Road,Tony,Green,70,Husband,Married,Male,Retired Youth worker,None,None
9,Rhubarb Road,Carolyn,Henderson,23,Head,Single,Female,Multimedia programmer,None,Catholic
10,Rhubarb Road,Julia,Stewart,83,Head,Widowed,Female,"Retired Editor, magazine features",None,Methodist
11,Rhubarb Road,Kate,Dawson,41,Head,Single,Female,Hospital pharmacist,None,Catholic
12,Rhubarb Road,Lawrence,Sanderson,58,Head,Single,Male,"Research officer, political party",None,Christian
13,Rhubarb Road,Lynne,Woods,65,Head,Married,Female,Land,None,Christian
13,Rhubarb Road,Harry,Woods,65,Husband,Married,Male,General practice doctor,None,None
14,Rhubarb Road,Roger,Hopkins,71,Head,Divorced,Male,Retired Corporate treasurer,None,Christian
14,Rhubarb Road,Eileen,Flynn,9,Granddaughter,NA,Female,Student,None,NA
15,Rhubarb Road,Jade,James,29,Head,Married,Female,Advice worker,None,None
15,Rhubarb Road,Charlie,James,32,Husband,Married,Male,Chief Executive Officer,None,None
16,Rhubarb Road,Alison,Law,52,Head,Married,Female,Arts development officer,None,Methodist
16,Rhubarb Road,Mohammed,Law,53,Husband,Married,Male,Air cabin crew,None,Methodist
17,Rhubarb Road,Philip,Ball,51,Head,Divorced,Male,Bonds trader,None,Christian
18,Rhubarb Road,Bradley,Watson,81,Head,Widowed,Male,Retired Public affairs consultant,None,Christian
19,Rhubarb Road,Kerry,Gallagher,38,Head,Married,Female,Midwife,None,Catholic
19,Rhubarb Road,Mitchell,Gallagher,38,Husband,Married,Male,Sports development officer,None,Catholic
19,Rhubarb Road,Maureen,Gallagher,3,Daughter,NA,Female,Child,None,NA
20,Rhubarb Road,Jay,Wall,64,Head,Single,Male,TEFL teacher,None,None
20,Rhubarb Road,Aimee,Smith,41,None,Single,Female,Clothing/textile technologist,None,None
21,Rhubarb Road,Amber,Kay,38,Head,Single,Female,Office manager,None,Christian
22,Rhubarb Road,Emily,Thomas,39,Head,Single,Female,Chief Strategy Officer,None,Christian
23,Rhubarb Road,Abbie,Hussain,30,Head,Married,Female,Civil Service administrator,None,Methodist
23,Rhubarb Road,Christian,Hussain,23,Husband,Married,Male,Barrister's clerk,None,None
23,Rhubarb Road,Marian,Hussain,5,Daughter,NA,Female,Student,None,NA
24,Rhubarb Road,Debra,Johnson,73,Head,Widowed,Female,Retired Commercial/residential surveyor,None,None
25,Rhubarb Road,Katy,Richardson,56,Head,Married,Female,"Accountant, chartered management",None,Christian
25,Rhubarb Road,Geoffrey,Richardson,57,Husband,Married,Male,Land/geomatics surveyor,None,None
1,Roberts Avenue,Elliot,Palmer,36,Head,Divorced,Male,Financial trader,None,Catholic
1,Roberts Avenue,Alison,Cooper,19,Lodger,Single,Female,Neurosurgeon,None,None
1,Roberts Avenue,Christine,Price,47,Sibling,Single,Female,"Teacher, English as a foreign language",None,Catholic
1,Roberts Avenue,Stacey,Edwards,26,Lodger,Single,Female,Housing manager/officer, ,None
2,Roberts Avenue,Elaine,Palmer,35,Head,Married,Female,Unemployed,None,None
2,Roberts Avenue,Cameron,Woods,42,Husband,Married,Male,"Production assistant, radio",None,None
2,Roberts Avenue,Bruce,Palmer,7,Son,NA,Male,Student,None,NA
2,Roberts Avenue,Ryan,Palmer,5,Son,NA,Male,Student,None,NA
3,Roberts Avenue,Cheryl,Frost,80,Head,Widowed,Female,Retired Sales promotion account executive,None,Christian
4,Roberts Avenue,Susan,Stevens,44,Head,Married,Female,Tax inspector,None,None
4,Roberts Avenue,Frank,Stevens,46,Husband,Married,Male,Contractor,None,None
4,Roberts Avenue,Albert,Stevens,11,Son,NA,Male,Student,None,NA
4,Roberts Avenue,Fiona,Stevens,8,Daughter,NA,Female,Student,None,NA
4,Roberts Avenue,Brandon,Stevens,5,Son,NA,Male,Student,None,NA
5,Roberts Avenue,Wendy,Bennett,37,Head,Single,Female,"Psychologist, prison and probation services",None,Christian
5,Roberts Avenue,Billy,Williams,39,Partner,Single,Male,Firefighter,None,Christian
5,Roberts Avenue,Henry,Bennett,4,Son,NA,Male,Child,None,NA
5,Roberts Avenue,Denise,Bennett,1,Daughter,NA,Female,Child,None,NA
6,Roberts Avenue,Emily,Shah,34,Head,Divorced,Female,"Editor, commissioning",None,Christian
6,Roberts Avenue,Lynn,Shah,6,Daughter,NA,Female,Student,None,NA
6,Roberts Avenue,Howard,Shah,3,Son,NA,Male,Child,None,NA
6,Roberts Avenue,Elliott,Shah,0,Son,NA,Male,Child,None,NA
6,Roberts Avenue,Kathryn,Holden,28,Lodger,Single,Female,Health physicist,None,Catholic
7,Roberts Avenue,Alison,Kemp,32,Head,Divorced,Female,Unemployed,None,Catholic
7,Roberts Avenue,Jade,Kemp,2,Daughter,NA,Female,Child,None,NA
8,Roberts Avenue,Sally,Robinson,42,Head,Single,Female,"Psychologist, sport and exercise",None,None
9,Roberts Avenue,Stacey,Jennings,42,Head,Married,Female,"Nurse, children's",None,Christian
9,Roberts Avenue,Sally,Jennings,44,Wife,Married,Female,Historic buildings inspector/conservation officer,None,Christian
10,Roberts Avenue,Joanne,Williams,52,Head,Divorced,Female,"Psychologist, educational",None,None
10,Roberts Avenue,Christopher,Williams,24,Son,Single,Male,"Engineer, biomedical",None,None
11,Roberts Avenue,Lynda,Smith,59,Head,Married,Female,Outdoor activities/education manager,None,Muslim
11,Roberts Avenue,Dominic,Smith,60,Husband,Married,Male,Land/geomatics surveyor,None,None
12,Roberts Avenue,Jonathan,Osborne,52,Head,Married,Male,Marketing executive,None,None
12,Roberts Avenue,Julie,Osborne,51,Wife,Married,Female,Musician,None,None
13,Roberts Avenue,Rosie,Osborne,32,Head,Single,Female,Unemployed,None,None
13,Roberts Avenue,Danny,Clark,40,Partner,Single,Male,"Designer, fashion/clothing",None,None
13,Roberts Avenue,Gary,Osborne,7,Son,NA,Male,Student,None,NA
13,Roberts Avenue,Jamie,Osborne,5,Son,NA,Male,Student,None,NA
14,Roberts Avenue,Clare,Baxter,31,Head,Divorced,Female,Press sub,None,None
14,Roberts Avenue,Wayne,Baxter,6,Adopted Son,NA,Male,Student,None,NA
14,Roberts Avenue,Gareth,Baxter,3,Son,NA,Male,Child,None,NA
14,Roberts Avenue,Kate,Green,40,Lodger,Single,Female,Ranger/warden,None,Christian
14,Roberts Avenue,Sophie,Richards,31,Sibling,Single,Female,"Production assistant, television",None,None
15,Roberts Avenue,Paul,Douglas,44,Head,Single,Male,Animal nutritionist,None,Christian
15,Roberts Avenue,Henry,Douglas,11,Son,NA,Male,Student,None,NA
16,Roberts Avenue,Jake,Wright,38,Head,Widowed,Male,Interpreter,None,Catholic
17,Roberts Avenue,Nicole,Lewis,56,Head,Widowed,Female,"Education officer, community",None,None
17,Roberts Avenue,Claire,Lewis,35,Daughter,Single,Female,"Education officer, environmental",None,None
17,Roberts Avenue,Yvonne,Lewis,31,Daughter,Single,Female,Recruitment consultant,None,None
18,Roberts Avenue,Hollie,Smith,58,Head,Single,Female,Aid worker,None,Christian
18,Roberts Avenue,Mandy,Brown,37,None,Single,Female,Government social research officer,None,None
18,Roberts Avenue,Bruce,Harvey,62,None,Single,Male,Health service manager,None,None
19,Roberts Avenue,Elizabeth,Newton,52,Head,Single,Female,Warden/ranger,None,Methodist
19,Roberts Avenue,Raymond,North,54,Partner,Single,Male,Air broker,None,None
20,Roberts Avenue,Claire,Norman,34,Head,Single,Female,Oceanographer,None,None
20,Roberts Avenue,Graham,Norman,9,Son,NA,Male,Student,None,NA
21,Roberts Avenue,Gregory,Mitchell,31,Head,Married,Male,Armed forces operational officer,None,Christian
21,Roberts Avenue,Russell,Mitchell,25,Husband,Married,Male,Games developer,None,Christian
22,Roberts Avenue,Denise,Edwards,49,Head,Single,Female,Colour technologist,None,Catholic
22,Roberts Avenue,Antony,Khan,48,Partner,Single,Male,"Scientist, research (life sciences)",None,None
22,Roberts Avenue,Kirsty,Edwards,21,Daughter,Single,Female,University Student,None,Catholic
22,Roberts Avenue,Charles,Edwards,10,Son,NA,Male,Student,None,NA
23,Roberts Avenue,Bernard,Thompson,63,Head,Married,Male,"Optician, dispensing",None,None
23,Roberts Avenue,Rita,Thompson,62,Wife,Married,Female,Transport planner,None,None
24,Roberts Avenue,Brenda,Dyer,46,Head,Single,Female,Sports coach,None,Catholic
24,Roberts Avenue,Nicole,Dyer,14,Step-Daughter,NA,Female,Student,None,NA
24,Roberts Avenue,Barry,Dyer,12,Step-Son,NA,Male,Student,None,NA
25,Roberts Avenue,Emily,Hall,54,Head,Married,Female,Chiropodist,None,Christian
25,Roberts Avenue,Mohammed,Hall,54,Husband,Married,Male,Soil scientist,None,None
26,Roberts Avenue,Katherine,Duffy-Chandler,31,Head,Married,Female,Therapeutic radiographer,None,None
26,Roberts Avenue,Nathan,Duffy-Chandler,33,Husband,Married,Male,Multimedia specialist,None,None
27,Roberts Avenue,Lynn,Thomas,77,Head,Married,Female,Retired Fine artist,None,None
